RSVSB,RSVSB,ALVA,ALVA	RSVSB,RSVSB,ALVA,ALVA
RSVSB,RSVSB,ALVA,ALVA	RSVP,RSVP
WMSV	WMSV
WMSV	BAEVM
WMSV	GALV
WMSV	KORV
WMSV	MLVDE
WMSV	MLVCB,MLVCB
WMSV	MLVRD
WMSV	XMRV6,XMRV6
WMSV	XMRV4,XMRV4
WMSV	MLVAV
WMSV	MLVFP
WMSV	FLV
WMSV	FSVMD
WMSV	MLVBM,MLVBM
WMSV	MLVMS,MLVMS
WMSV	XMRV3,XMRV3
WMSV	MLVFF
WMSV	MSVMO
WMSV	MLVF5
WMSV	MLVHO
WMSV	MLVDU
JEMBR_Q82851	JEMBR_Q82851
JEMBR_Q82851	JEMBR_Q82850
JEMBR_Q82851	BIV29,BIV29
SMRVH	SMRVH
SIVGB,SIVGB	SIVGB,SIVGB
SIVGB,SIVGB	SIVVT,SIVVG,SIVVG
SIVGB,SIVGB	SIVG1,SIVG1
SIVGB,SIVGB	SIVVT
SIVGB,SIVGB	SIVV1,SIVV1
SIVGB,SIVGB	SIVTN,SIVTN
SIVGB,SIVGB	HV197,HV197
SIVGB,SIVGB	HV1U4,HV1U4
SIVGB,SIVGB	HV1OY,HV1OY
SIVGB,SIVGB	HV1B9,HV1B9
SIVGB,SIVGB	HV19N,HV19N
SIVGB,SIVGB	HV1S2,HV1S2
SIVGB,SIVGB	HV1MP,HV1MP
SIVGB,SIVGB	HV192,HV192
SIVGB,SIVGB	HV1N5,HV1N5
SIVGB,SIVGB	HV1V9,HV1V9
SIVGB,SIVGB	HV1W2
SIVGB,SIVGB	HV1S9,HV1S9
SIVGB,SIVGB	HV1M2,HV1M2
SIVGB,SIVGB	HV1ET,HV1ET
SIVGB,SIVGB	HV1RH,HV1RH
SIVGB,SIVGB	HV1SE,HV1SE
SIVGB,SIVGB	HV1MA,HV1MA
SIVGB,SIVGB	HV1C4,HV1C4
SIVGB,SIVGB	HV1Z2,HV1Z2
SIVGB,SIVGB	HV1J3,HV1J3
SIVGB,SIVGB	HV190,HV190
SIVGB,SIVGB	HV1VI,HV1VI
SIVGB,SIVGB	HV1MN_P05961
SIVGB,SIVGB	HV1JR,HV1JR
SIVGB,SIVGB	HV196,HV196
SIVGB,SIVGB	HV1EL,HV1EL
SIVGB,SIVGB	HV193,HV193
SIVGB,SIVGB	HV1Y2,HV1Y2
SIVGB,SIVGB	HV1MV,HV1MV
SIVGB,SIVGB	HV1AN,HV1AN
SIVGB,SIVGB	HV2G1,HV2G1
SIVGB,SIVGB	HV2CA,HV2CA
SIVGB,SIVGB	HV2RO,HV2RO
SIVGB,SIVGB	HV2EH,HV2EH
SIVGB,SIVGB	HV2KR,HV2KR
SIVGB,SIVGB	SIVM1,SIVM1
SIVGB,SIVGB	SIVM2,SIVM2
SIVGB,SIVGB	HV2ST,HV2ST
SIVGB,SIVGB	HV2BE,HV2BE
SIVGB,SIVGB	HV2NZ,HV2NZ
SIVGB,SIVGB	SIVS4,SIVS4
SIVGB,SIVGB	HV2D2,HV2D2
SIVGB,SIVGB	HV2UC,HV2UC
SIVGB,SIVGB	SIVMS
SIVGB,SIVGB	SIVSP,SIVSP
SIVGB,SIVGB	HV2SB,HV2SB
SIVGB,SIVGB	HV2D1,HV2D1
SIVGB,SIVGB	HV1MN_P05888
SIVGB,SIVGB	SIVEK,SIVEK
SIVGB,SIVGB	SIVCZ,SIVCZ
SIVGB,SIVGB	SIVMB,SIVMB
SIVGB,SIVGB	HV1YF,HV1YF
SIVGB,SIVGB	HV1YB,HV1YB
SIVGB,SIVGB	HV1A2,HV1A2
SIVGB,SIVGB	HV1B5,HV1B1,HV1H2,HV1LW,HV1H2,HV1LW,HV1BR,HV1B1,HV1B5,HV1BR
SIVGB,SIVGB	HV1ND,HV1ND
MPMV,MPMV,MPMV	MPMV,MPMV,MPMV
MPMV,MPMV,MPMV	SRV2
MPMV,MPMV,MPMV	SRV1
MPMV,MPMV,MPMV	JSRV
MPMV,MPMV,MPMV	MMTVC
MPMV,MPMV,MPMV	MMTVB,MMTVB,MMTVB
MPMV,MPMV,MPMV	MMTVC,MMTVC
WDSV,WDSV	WDSV,WDSV
CAEVC	CAEVC
CAEVC	OMVVS
CAEVC	VILV2
CAEVC	VILV1
CAEVC	VILV,VILVK
CAEVC	FIVWO
CAEVC	FIVT2
CAEVC	FIVPE
CAEVC	FIVSD
CAEVC	EIAV9,EIAVY
CAEVC	EIAVC
BLVJ	BLVJ
BLVJ	BLVAU
BLVJ	HTL32,HTL32,HTL32
BLVJ	HTLV2,HTLV2,HTLV2
BLVJ	HTL3P,HTL3P,HTL3P
BLVJ	HTL1C,HTL1C,HTL1C
BLVJ	HTL1M
BLVJ	HTL1L,HTL1L,HTL1L
BLVJ	HTL1A,HTL1A,HTL1A
